"","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Group","Actor.id","A_L_1","A_L_2","A_L_3","A_L_4","B_L_1","B_L_2","B_L_3","B_L_4","C_L_1","C_L_2","C_L_3","C_L_4","D_L_1","D_L_2","D_L_3","D_L_4","E_L_1","E_L_2","E_L_3","E_L_4","F_L_1","F_L_2","F_L_3","F_L_4","A_I_1","A_I_2","A_I_3","B_I_1","B_I_2","B_I_3","C_I_1","C_I_2","C_I_3","D_I_1","D_I_2","D_I_3","E_I_1","E_I_2","E_I_3","F_i_1","F_i_2","F_i_3","A_S_1","A_S_2","A_S_3","B_S_1","B_S_2","B_S_3","C_S_1","C_S_2","C_S_3","D_S_1","D_S_2","D_S_3","E_S_1","E_S_2","E_S_3","F_S_1","F_S_2","F_S_3","A_H_1","A_H_2","A_H_3","B_H_1","B_H_2","B_H_3","C_H_1","C_H_2","C_H_3","D_H_1","D_H_2","D_H_3","E_H_1","E_H_2","E_H_3","F_F_1","F_F_2","F_F_3","Gender","Age_1"
"11","2018-02-05 06:29:47","2018-02-05 06:37:00","0","82.81.161.130","100","433","1","2018-02-05 06:37:01","R_27P4FIvejIYzhv5","","","","","31.779998779297","35.229995727539","anonymous","HE","658","5","6","7","6","8","4","3","4","3","6","6","6","4","10","10","9","9","","","","","8","5","6","9","10","10","8","2","3","4","3","3","6","10","11","9","","","","8","9","11","10","10","9","7","7","9","9","7","9","9","9","9","","","","11","9","9","9","9","8","7","6","6","7","7","5","10","9","10","","","","10","9","9","1","48"
"12","2018-02-05 06:28:35","2018-02-05 06:39:04","0","82.81.161.130","100","628","1","2018-02-05 06:39:04","R_ZxW8Xn95imVJoDD","","","","","31.779998779297","35.229995727539","anonymous","HE","658","1","","","","","4","4","4","4","4","4","4","4","7","7","9","9","10","10","10","10","6","6","9","9","","","","3","3","7","3","3","7","8","6","10","10","10","8","3","3","8","","","","9","7","9","10","8","10","11","11","11","10","10","10","11","11","11","","","","7","11","6","8","11","7","9","11","8","11","11","11","9","11","8","2","47"
"13","2018-02-05 06:27:31","2018-02-05 06:39:12","0","82.81.161.130","100","700","1","2018-02-05 06:39:14","R_Zgbwwzrrie78Gyd","","","","","31.779998779297","35.229995727539","anonymous","HE","658","6","9","7","8","7","8","4","7","7","9","7","9","6","8","6","6","6","6","7","9","8","","","","","5","6","9","8","7","8","8","6","9","10","9","6","8","8","6","","","","9","10","8","9","7","9","8","7","8","8","9","9","9","9","9","","","","9","9","6","9","8","6","9","9","6","10","10","8","8","8","5","","","","2","48"
"14","2018-02-05 06:28:21","2018-02-05 06:41:56","0","82.81.161.130","100","815","1","2018-02-05 06:41:57","R_3iQCPOId4jcE2oG","","","","","31.779998779297","35.229995727539","anonymous","HE","658","2","4","3","4","3","","","","","6","4","4","3","7","7","7","7","3","3","4","5","7","6","6","6","4","3","5","","","","3","5","4","9","9","8","4","6","3","7","8","9","5","6","5","","","","7","6","10","8","8","7","4","6","3","8","8","6","7","6","6","","","","7","6","6","8","7","8","5","5","4","8","7","7","2","45"
"15","2018-02-08 04:37:57","2018-02-08 04:44:58","0","132.64.207.53","100","420","1","2018-02-08 04:44:58","R_6KUV7k1UBerNI4h","","","","","31.779998779297","35.229995727539","anonymous","HE","807","4","4","4","4","4","4","4","4","4","4","4","4","4","","","","","4","4","4","4","4","4","4","4","11","9","7","11","11","7","1","1","1","","","","11","8","8","7","5","10","11","9","11","11","11","11","1","1","1","","","","11","11","11","11","7","11","11","11","11","11","11","11","9","11","9","","","","11","11","11","11","11","11","1","41"
"16","2018-02-08 04:41:58","2018-02-08 04:46:52","0","132.64.207.61","100","294","1","2018-02-08 04:46:53","R_2e4IcfG8yYnki6D","","","","","31.779998779297","35.229995727539","anonymous","HE","807","5","2","2","2","2","7","7","7","7","4","4","4","4","10","10","10","10","","","","","4","4","4","4","5","5","5","6","6","6","1","1","1","11","11","11","","","","5","5","5","8","8","6","9","9","9","1","1","1","11","11","11","","","","1","1","1","3","3","3","3","3","3","1","1","1","11","11","11","","","","3","3","3","1","45"
"17","2018-02-08 05:02:16","2018-02-08 05:11:33","0","132.64.207.178","100","557","1","2018-02-08 05:11:34","R_2V4n0Zis1qQbtr6","","","","","31.779998779297","35.229995727539","anonymous","HE","807","3","5","5","5","5","5","5","5","5","","","","","5","5","5","5","4","4","4","4","5","5","5","5","7","5","7","7","5","7","","","","7","5","7","6","5","6","6","5","5","11","11","11","11","11","11","","","","11","11","11","11","11","11","11","11","11","8","9","6","8","9","6","","","","8","9","6","8","9","6","8","9","6","1","37"
"18","2018-02-08 06:21:04","2018-02-08 06:26:46","0","132.64.207.49","100","341","1","2018-02-08 06:26:47","R_VI6GqVQpktJxbPP","","","","","31.779998779297","35.229995727539","anonymous","HE","807","2","5","5","5","5","","","","","5","5","5","5","9","9","9","9","6","6","6","6","4","4","5","4","9","9","9","","","","3","3","3","9","9","9","3","3","3","6","6","6","6","6","6","","","","6","6","6","9","9","9","6","6","6","5","5","5","10","10","10","","","","10","10","10","10","10","10","10","10","10","10","10","10","1","32"
"19","2018-02-12 04:52:03","2018-02-12 04:58:16","0","132.64.207.63","100","373","1","2018-02-12 04:58:17","R_1KeYDYwwI12bbZF","","","","","31.779998779297","35.229995727539","anonymous","HE","807","6","8","8","8","8","10","10","10","10","10","6","6","10","10","10","9","9","8","8","8","8","","","","","8","7","7","9","9","9","6","3","3","10","10","10","8","6","8","","","","7","7","7","9","9","9","8","8","8","10","10","9","11","10","10","","","","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","","","","1","23"
"20","2018-02-20 06:22:53","2018-02-20 06:31:47","0","132.64.207.54","100","533","1","2018-02-20 06:31:47","R_1LZs4H9iElrO5U2","","","","","31.779998779297","35.229995727539","anonymous","HE","807","1","","","","","9","10","9","10","4","4","4","4","9","10","9","10","4","4","4","4","7","7","7","9","","","","10","10","9","4","4","4","11","11","11","4","4","5","10","9","10","","","","11","11","11","8","8","11","11","11","11","11","11","11","8","8","10","","","","11","11","10","6","6","4","11","11","11","7","7","4","11","11","10","1","39"
