StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Group,Actor.id,A_L_1,A_L_2,A_L_3,A_L_4,B_L_1,B_L_2,B_L_3,B_L_4,C_L_1,C_L_2,C_L_3,C_L_4,D_L_1,D_L_2,D_L_3,D_L_4,A_I_1,A_I_2,A_I_3,B_I_1,B_I_2,B_I_3,C_I_1,C_I_2,C_I_3,D_I_1,D_I_2,D_I_3,A_S_1,A_S_2,A_S_3,B_S_1,B_S_2,B_S_3,C_S_1,C_S_2,C_S_3,D_S_1,D_S_2,D_S_3,A_H_1,A_H_2,A_H_3,B_H_1,B_H_2,B_H_3,C_H_1,C_H_2,C_H_3,D_H_1,D_H_2,D_H_3,Gender,Age_1
2018-01-24 00:37:44,2018-01-24 00:43:11,0,2.53.152.150,100,327,1,2018-01-24 00:43:12,R_2VdWh72AMpUNZCK,,,,,32.066604614258,34.764999389648,anonymous,HE,631,4,10,11,9,11,8,9,11,11,9,10,11,11,,,,,7,6,11,6,4,7,6,9,11,,,,11,11,8,11,8,8,8,11,8,,,,11,11,9,11,11,9,11,11,9,,,,2,58
2018-01-24 00:37:06,2018-01-24 00:45:46,0,176.12.147.163,100,520,1,2018-01-24 00:45:50,R_2wypJltfAaay4cs,,,,,31.5,34.75,qr,HE,631,1,,,,,10,10,9,9,10,10,9,9,9,9,10,9,,,,9,11,11,9,11,11,4,4,9,,,,11,10,11,11,11,11,11,10,11,,,,11,11,11,11,11,11,9,10,10,2,51
2018-01-24 00:37:10,2018-01-24 00:46:22,0,2.53.161.200,100,552,1,2018-01-24 00:46:22,R_12qVVCzctUrjqKF,,,,,31.5,34.75,anonymous,HE,631,3,10,8,10,9,7,8,9,9,,,,,9,8,10,9,8,6,11,6,4,6,,,,10,7,10,11,11,9,7,8,6,,,,10,7,9,9,10,8,8,9,7,,,,9,10,8,2,57
2018-01-24 00:40:35,2018-01-24 00:46:43,0,80.246.130.60,100,368,1,2018-01-24 00:46:48,R_1Iuuqz6M3lgaZxG,,,,,31.5,34.75,qr,HE,631,2,9,9,9,9,,,,,5,7,9,9,4,4,6,9,7,6,11,,,,6,6,6,6,4,8,11,11,11,,,,9,10,9,11,11,11,11,11,11,,,,11,11,11,11,11,11,2,38
2018-01-24 01:07:49,2018-01-24 01:13:50,0,176.13.241.95,100,361,1,2018-01-24 01:13:50,R_1jlYDlPNyua7xe2,,,,,31.5,34.75,anonymous,HE,611,1,,,,,6,6,7,7,3,4,3,4,7,6,6,4,,,,4,4,8,2,2,8,4,4,6,,,,11,11,11,10,10,6,6,7,7,,,,11,11,8,11,7,5,7,7,7,1,58
2018-01-24 01:07:45,2018-01-24 01:14:48,0,141.226.232.18,100,423,1,2018-01-24 01:14:49,R_XTaGzlkRuePvh6N,,,,,31.5,34.75,qr,HE,611,3,9,5,8,9,4,5,7,8,,,,,4,5,6,4,8,4,8,7,8,8,,,,5,4,8,7,10,9,11,6,7,,,,4,9,5,8,11,8,7,7,5,,,,4,8,4,2,48
2018-01-24 01:08:01,2018-01-24 01:18:33,0,37.142.162.232,100,631,1,2018-01-24 01:18:36,R_bkYEsdfKWlvhH5T,,,,,32.066604614258,34.764999389648,anonymous,HE,611,2,4,4,4,4,,,,,4,4,4,4,6,4,5,4,6,7,4,,,,8,8,8,8,11,8,8,6,9,,,,11,9,9,8,7,9,8,9,8,,,,7,8,7,10,9,9,2,58
2018-01-24 01:09:46,2018-01-24 01:28:20,0,37.26.147.166,100,1113,1,2018-01-24 01:28:20,R_42x4LiERd5Eksc9,,,,,32.066604614258,34.764999389648,anonymous,HE,611,4,5,4,5,5,5,5,4,4,4,4,3,4,,,,,7,8,8,8,8,10,7,6,9,,,,10,8,10,10,10,10,10,10,10,,,,7,8,6,10,10,9,9,7,8,,,,2,58
2018-01-24 01:32:29,2018-01-24 01:37:42,0,2.53.19.128,100,313,1,2018-01-24 01:37:43,R_2ydNEYkmnDaGYRU,,,,,31.5,34.75,anonymous,HE,690,2,8,6,6,7,,,,,9,9,9,6,4,5,5,4,5,5,5,,,,9,9,9,4,4,4,9,10,10,,,,7,8,7,3,3,4,10,10,9,,,,11,11,11,10,10,10,2,58
2018-01-24 01:32:35,2018-01-24 01:38:28,0,37.26.146.200,100,353,1,2018-01-24 01:38:29,R_1Pbmi6mcCDmGGqv,,,,,32.01139831543,34.772201538086,anonymous,HE,690,4,6,6,9,9,9,7,10,10,9,9,9,9,,,,,4,3,7,7,6,9,8,9,10,,,,7,6,8,7,10,9,10,10,10,,,,10,10,10,10,10,10,10,10,10,,,,2,53
2018-01-24 01:32:55,2018-01-24 01:40:41,0,46.19.86.199,100,466,1,2018-01-24 01:40:42,R_1jHB9QEZAJacvz8,,,,,32.080596923828,34.814193725586,anonymous,HE,690,3,6,5,5,5,8,9,10,11,,,,,4,4,4,5,4,4,7,8,11,11,,,,5,6,7,4,6,8,9,10,7,,,,5,5,6,6,5,7,8,9,9,,,,6,8,7,2,55
2018-01-24 01:32:26,2018-01-24 01:41:01,0,2.53.142.75,100,515,1,2018-01-24 01:41:02,R_28H4NByzL2SQATh,,,,,31.5,34.75,qr,HE,690,1,,,,,4,2,4,4,4,4,4,4,4,4,4,4,,,,4,4,8,8,7,11,6,7,11,,,,9,10,9,10,10,10,10,10,10,,,,10,10,6,10,10,7,10,10,7,2,58
2018-01-29 02:52:06,2018-01-29 02:57:08,0,46.19.85.3,100,301,1,2018-01-29 02:57:08,R_3JmDaekTpr8WYgJ,,,,,31.5,34.75,anonymous,HE,500,4,3,4,3,6,4,4,4,4,7,6,6,4,,,,,3,3,2,3,3,6,7,6,9,,,,11,7,6,11,8,6,11,11,9,,,,6,8,3,7,6,3,11,11,9,,,,2,51
2018-01-29 02:52:06,2018-01-29 02:59:08,0,46.19.86.120,100,421,1,2018-01-29 02:59:09,R_10GXlGKiNbw3J4K,,,,,31.5,34.75,anonymous,HE,500,2,2,5,5,3,,,,,2,5,,,1,1,,,11,,,,,,9,,,1,,,11,9,11,,,,11,11,11,8,5,5,11,,,,,,11,,,2,8,4,1,17
2018-01-29 02:52:13,2018-01-29 03:00:07,0,46.19.85.186,100,474,1,2018-01-29 03:00:11,R_2YaZYxUxB4HLpbR,,,,,31.5,34.75,anonymous,HE,500,3,4,4,3,4,9,7,6,6,,,,,2,4,4,4,9,4,6,,11,9,,,,1,1,6,11,10,10,11,9,7,,,,5,5,8,10,10,9,11,11,11,,,,9,10,9,2,26
2018-01-29 02:52:03,2018-01-29 03:01:36,0,81.218.117.133,100,572,1,2018-01-29 03:01:36,R_wS35KqgOWtFxoHL,,,,,32.066696166992,34.766693115234,anonymous,HE,500,1,,,,,2,1,4,4,4,3,2,2,2,2,4,4,,,,7,7,7,6,4,4,1,1,1,,,,6,6,5,11,6,11,3,1,3,,,,11,1,11,11,1,11,9,1,10,1,16
2018-01-31 00:14:37,2018-01-31 00:19:40,0,109.64.122.151,100,303,1,2018-01-31 00:19:41,R_aYuxv0lOr9kqGaZ,,,,,31.5,34.75,anonymous,HE,607,1,,,,,10,11,10,10,9,10,9,4,8,7,5,10,,,,11,11,6,6,7,6,9,10,9,,,,9,9,4,7,7,10,10,4,4,,,,11,11,11,11,10,11,11,11,11,1,42
2018-01-31 00:23:49,2018-01-31 00:27:02,0,31.168.169.216,100,192,1,2018-01-31 00:27:02,R_3fBmR7mayxLTZXL,,,,,32.066696166992,34.766693115234,anonymous,HE,607,3,8,8,8,8,9,10,10,10,,,,,9,9,9,9,7,6,9,9,10,10,,,,9,9,8,10,10,7,10,10,10,,,,10,10,10,9,9,9,9,9,9,,,,9,9,9,1,42
2018-01-31 03:35:20,2018-01-31 03:40:05,0,82.166.198.1,100,285,1,2018-01-31 03:40:06,R_RC9jUZsyTf1kA25,,,,,31.364196777344,34.718704223633,anonymous,HE,607,4,9,8,8,9,7,6,8,9,9,6,4,8,,,,,10,10,10,9,9,8,8,7,6,,,,10,10,10,9,10,11,10,10,10,,,,10,10,10,10,10,10,10,10,10,,,,1,42
2018-02-01 02:33:32,2018-02-01 02:37:44,0,132.64.205.118,100,251,1,2018-02-01 02:37:44,R_cTl1oSLXtrR48jn,,,,,31.779998779297,35.229995727539,anonymous,HE,102,3,9,8,6,6,4,6,6,6,,,,,3,2,4,4,3,6,7,1,1,4,,,,1,1,3,10,10,3,10,10,3,,,,9,6,2,9,11,2,3,7,1,,,,4,9,1,1,42
2018-02-01 02:34:34,2018-02-01 02:40:25,0,132.64.205.159,100,351,1,2018-02-01 02:40:25,R_3HNPqDjjZQu48nh,,,,,31.779998779297,35.229995727539,anonymous,HE,102,2,7,8,6,9,,,,,5,4,4,4,10,10,10,10,3,4,4,,,,3,2,8,8,9,10,5,8,5,,,,4,4,4,7,8,7,8,8,8,,,,8,8,8,9,9,9,1,22
2018-02-01 02:34:08,2018-02-01 02:44:55,0,132.64.205.100,100,646,1,2018-02-01 02:44:55,R_1mXjLChz6NFCkfC,,,,,31.779998779297,35.229995727539,anonymous,HE,102,4,4,4,4,4,11,7,9,9,4,4,4,4,,,,,7,5,9,11,9,11,4,2,6,,,,11,8,8,11,11,9,11,10,10,,,,10,10,7,11,10,9,11,10,6,,,,1,30
2018-02-01 03:53:52,2018-02-01 03:58:29,0,132.64.205.110,100,276,1,2018-02-01 03:58:30,R_3iCKHyU9MFdvWby,,,,,31.779998779297,35.229995727539,anonymous,HE,400,1,,,,,10,9,8,8,8,9,9,9,8,8,8,8,,,,9,9,9,7,4,5,6,6,6,,,,10,10,10,9,9,9,7,6,2,,,,9,8,8,9,9,5,10,8,6,1,30
2018-02-04 03:36:07,2018-02-04 03:42:26,0,31.168.169.216,100,378,1,2018-02-04 03:42:27,R_2Bh5yICJoSPfaBt,,,,,32.066696166992,34.766693115234,anonymous,HE,607,2,5,5,6,7,,,,,6,4,7,4,4,5,4,4,8,6,10,,,,4,3,8,6,6,9,9,11,9,,,,10,5,9,11,10,11,11,11,11,,,,11,11,11,11,11,11,1,30
2018-02-06 04:32:03,2018-02-06 04:34:29,0,132.64.201.181,100,145,1,2018-02-06 04:34:29,R_3QEIcOo9fqCwAms,,,,,31.779998779297,35.229995727539,anonymous,HE,699,2,11,11,11,11,,,,,11,11,11,11,11,11,11,11,7,7,11,,,,11,11,11,11,11,11,11,8,6,,,,11,11,11,11,11,11,11,11,11,,,,11,11,11,11,11,11,2,41
2018-02-06 04:21:56,2018-02-06 04:35:41,0,132.64.201.40,100,825,1,2018-02-06 04:35:42,R_3qeAJ1mVozVphe2,,,,,31.779998779297,35.229995727539,anonymous,HE,699,4,2,2,2,2,6,6,6,4,4,4,4,4,,,,,1,1,1,11,11,11,2,2,9,,,,10,1,6,10,9,10,11,5,11,,,,2,2,2,11,11,11,9,9,7,,,,1,25
2018-02-06 04:32:12,2018-02-06 04:37:26,0,132.64.185.36,100,313,1,2018-02-06 04:37:27,R_1hWneCtUfIVQf64,,,,,31.779998779297,35.229995727539,anonymous,HE,699,3,4,4,4,4,4,4,4,4,,,,,4,4,4,4,8,8,11,9,9,11,,,,8,8,11,9,8,8,8,10,10,,,,10,10,8,10,10,9,11,11,11,,,,10,11,10,1,34
2018-02-06 04:38:05,2018-02-06 04:43:58,0,132.64.201.182,100,353,1,2018-02-06 04:43:59,R_2BwzfTJcETEdzOt,,,,,31.779998779297,35.229995727539,anonymous,HE,699,1,,,,,6,7,7,7,5,5,6,6,4,4,4,4,,,,5,5,11,4,4,11,2,1,3,,,,11,9,11,11,10,11,11,10,9,,,,8,9,7,9,8,6,2,2,1,1,24
2018-02-06 05:15:20,2018-02-06 05:21:04,0,132.64.201.50,100,344,1,2018-02-06 05:21:05,R_vTDYQZc01hCWFt7,,,,,31.779998779297,35.229995727539,anonymous,HE,805,4,10,9,9,9,4,4,4,4,9,9,9,9,,,,,11,11,11,3,2,2,11,11,11,,,,11,11,11,11,5,5,11,11,11,,,,11,11,11,1,6,2,11,11,11,,,,1,48
2018-02-06 05:28:35,2018-02-06 05:37:07,0,132.64.201.19,100,511,1,2018-02-06 05:37:07,R_415T3KHxJvkVGGR,,,,,31.779998779297,35.229995727539,anonymous,HE,805,2,8,8,8,9,,,,,6,6,6,7,6,6,7,7,7,7,10,,,,7,7,8,6,6,7,10,10,10,,,,7,6,6,7,7,7,11,11,11,,,,10,10,11,9,10,11,1,16
2018-02-06 05:44:30,2018-02-06 05:52:56,0,132.64.201.227,100,506,1,2018-02-06 05:52:57,R_1i5tRTNBCx57yTH,,,,,31.779998779297,35.229995727539,anonymous,HE,804,1,,,,,4,2,2,4,6,8,9,9,5,6,6,9,,,,4,5,4,2,3,5,4,4,4,,,,4,4,6,6,6,4,7,7,7,,,,9,9,10,11,11,7,8,9,9,1,14
2018-02-07 00:37:49,2018-02-07 00:46:33,0,132.64.201.64,100,524,1,2018-02-07 00:46:33,R_2SJG5SN8JJLE58t,,,,,31.779998779297,35.229995727539,anonymous,HE,804,2,5,4,3,4,,,,,6,6,6,6,6,5,5,4,7,7,7,,,,8,8,8,6,6,5,8,5,5,,,,8,8,5,9,9,8,11,11,11,,,,11,11,11,11,11,11,1,26
2018-02-07 05:39:22,2018-02-07 05:44:18,0,132.64.201.49,100,296,1,2018-02-07 05:44:19,R_11ZNQE8jebs7fSq,,,,,31.779998779297,35.229995727539,anonymous,HE,805,3,11,11,11,11,4,3,3,4,,,,,8,8,8,8,10,10,11,5,4,3,,,,9,9,9,11,11,11,6,4,3,,,,10,10,10,11,11,11,5,6,6,,,,9,9,9,1,29
2018-02-01 02:39:48,2018-02-01 02:47:04,0,132.64.205.15,52,436,0,2018-02-07 05:45:30,R_YYrJIMoC5iD76gN,,,,,,,anonymous,HE,102,1,,,,,6,6,6,6,5,5,5,5,6,6,6,5,,,,8,8,6,6,5,6,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,
