"","dyad","Creativity Mean.di","Humility Mean.di","Humility Delta.di","Humility Product.di","Humility SumSquares Product.di","Humility SumSquares.di"
"63","389_5",0,0.138,0.138,0.014,0,0.048
"64","389_6",0,0.138,0.414,-0.024,0.001,0.124
"65","407_1",-0.225,-0.483,0,0.233,0.054,0.466
"66","407_2",1.532,0.942,0.055,0.887,0.787,1.777
"67","407_3",-1.622,-1.08,1.048,0.892,0.796,2.882
"68","407_4",0.315,0.62,0.993,0.139,0.019,1.263
"69","407_5",0.18,1.31,1.599,1.076,1.158,4.711
"70","407_6",0.541,0.529,1.324,-0.159,0.025,1.435
"71","407_7",-0.496,-1.356,2.923,-0.298,0.089,7.949
"72","407_8",-0.406,-1.218,3.309,-1.254,1.573,8.442
"73","407_9",-1.307,-1.034,4.854,-4.82,23.23,13.917
"74","407_10",1.487,1.77,0.938,2.911,8.476,6.702
"75","507_1",0.045,-1.08,1.999,0.167,0.028,4.332
"76","507_2",0.518,0.437,2.275,-1.103,1.217,2.969
"77","507_3",-0.563,0.643,0.276,0.395,0.156,0.866
"78","507_4",-0.563,0.643,1.517,-0.161,0.026,1.978
"79","507_5",0.518,0.437,0.483,0.132,0.018,0.498
"80","507_6",0.045,-1.08,0.758,1.023,1.046,2.621
"81","555_1",-0.045,-0.092,0.552,-0.068,0.005,0.169
"82","555_2",0.023,0.873,0.965,0.53,0.281,1.991
"83","555_3",0.023,-0.781,0.414,0.568,0.322,1.307
"84","555_4",0.023,-0.781,1.517,0.035,0.001,2.371
"85","555_5",0.023,0.873,0.965,0.53,0.281,1.991
"86","555_6",-0.045,-0.092,0.552,-0.068,0.005,0.169
"87","690_1",0.045,0.23,0.138,0.048,0.002,0.115
"88","690_2",-0.428,0.23,0.552,-0.023,0.001,0.258
"89","690_3",0.383,-0.46,0.414,0.168,0.028,0.508
"90","690_4",0.383,-0.46,0.138,0.206,0.043,0.432
"91","690_5",-0.428,0.23,0.276,0.034,0.001,0.144
"92","690_6",0.045,0.23,0.689,-0.066,0.004,0.343
"93","691_1",0.518,-0.184,0.938,-0.186,0.035,0.507
"94","691_2",-0.248,-1.195,2.813,-0.55,0.302,6.812
"95","691_3",0.428,1.149,1.765,0.542,0.293,4.198
"96","691_4",-0.699,0.23,0.11,0.05,0.002,0.112
"97","691_5",-0.383,1.379,0.386,1.864,3.474,3.877
"98","691_6",0.158,0,0.276,-0.019,0,0.038
"99","691_7",-0.293,-1.195,0.827,1.257,1.58,3.198
"100","691_8",-0.473,-1.149,2.868,-0.736,0.542,6.753
"101","691_9",1.104,0.965,0.441,0.883,0.78,1.961
"102","691_10",-0.113,0,1.379,-0.475,0.226,0.951
"103","705_1",0.18,0.023,0.758,-0.143,0.021,0.289
"104","705_2",0.045,0.092,0,0.008,0,0.017
"105","705_3",-0.225,-0.115,0.758,-0.131,0.017,0.314
"106","705_4",-0.225,-0.115,0.207,0.003,0,0.048
"107","705_5",0.045,0.092,0.965,-0.224,0.05,0.483
"108","705_6",0.18,0.023,0.207,-0.01,0,0.022
"109","708_1",0.721,-0.115,1.724,-0.729,0.532,1.512
"110","708_2",-0.09,0.023,0.345,-0.029,0.001,0.06
"111","708_3",-0.631,0.092,1.379,-0.467,0.218,0.967
"112","708_4",-0.631,0.092,1.241,-0.377,0.142,0.787
"113","708_5",-0.09,0.023,0.483,-0.058,0.003,0.118
"114","708_6",0.721,-0.115,0.896,-0.188,0.035,0.428
"115","709_1",0.023,0.391,0.62,0.056,0.003,0.498
"116","709_2",-0.653,-0.85,1.034,0.456,0.208,1.981
"117","709_3",0.631,0.46,0.414,0.168,0.028,0.508
"118","709_4",0.631,0.46,0.276,0.192,0.037,0.461
"119","709_5",-0.653,-0.85,0.896,0.522,0.273,1.848
"120","709_6",0.023,0.391,1.31,-0.276,0.076,1.163
"121","713_1",0.158,-0.253,0.758,-0.08,0.006,0.415
"122","713_2",-0.113,0.092,0.689,-0.11,0.012,0.255
"123","713_3",-0.045,0.161,0.069,0.025,0.001,0.054
"124","713_4",-0.045,0.161,0.207,0.015,0,0.073
"125","713_5",-0.113,0.092,0.552,-0.068,0.005,0.169
"126","713_6",0.158,-0.253,0.483,0.006,0,0.244
"127","714_1",-0.09,0.46,1.103,-0.093,0.009,1.031
"128","714_2",-0.158,-1.195,2.068,0.359,0.129,4.995
"129","714_3",0.248,0.735,0.965,0.308,0.095,1.547
"130","714_4",0.248,0.735,0.138,0.536,0.287,1.091
"131","714_5",-0.158,-1.195,1.241,1.043,1.088,3.626
"132","714_6",-0.09,0.46,2.206,-1.006,1.011,2.856
"133","786_1",1.803,0.414,0.138,0.166,0.028,0.352
"134","786_2",-0.766,-0.62,1.034,0.118,0.014,1.305
"135","786_3",-1.037,0.207,0.896,-0.158,0.025,0.487
"136","786_4",-1.037,0.207,0.069,0.042,0.002,0.088
"137","786_5",-0.766,-0.62,0.207,0.374,0.14,0.791
"138","786_6",1.803,0.414,1.103,-0.133,0.018,0.951
"139","799_1",-0.113,-0.414,1.103,-0.133,0.018,0.951
"140","799_2",0.361,0.069,2.275,-1.289,1.662,2.598
"141","799_3",-0.248,0.345,1.172,-0.225,0.05,0.924
"142","799_4",-0.248,0.345,1.586,-0.51,0.26,1.495
"143","799_5",0.361,0.069,0.483,-0.053,0.003,0.126
"144","799_6",-0.113,-0.414,0.689,0.052,0.003,0.58
"145","801_1",0.135,0.115,0.938,-0.207,0.043,0.466
"146","801_2",0.451,0.529,0.552,0.203,0.041,0.711
"147","801_3",-0.586,-0.85,0.331,0.696,0.484,1.501
"148","801_4",0,0.207,0.055,0.042,0.002,0.087
"149","801_5",-0.451,-0.207,0.441,-0.006,0,0.183
"150","801_6",0.541,0.483,0.386,0.196,0.038,0.54
"151","801_7",-0.225,-0.391,0.11,0.15,0.022,0.311
"152","801_8",-0.09,-0.069,0.496,-0.057,0.003,0.133
"153","801_9",0.09,-0.253,0.607,-0.028,0.001,0.312
"154","801_10",0.135,0.437,0.552,0.115,0.013,0.533
"155","805_1",-0.608,-0.207,1.999,-0.957,0.915,2.084
"156","805_2",-0.541,-0.689,1.103,0.171,0.029,1.559
"157","805_3",1.149,0.896,0.896,0.602,0.363,2.008
"158","805_4",1.149,0.896,0.758,0.659,0.435,1.894
"159","805_5",-0.541,-0.689,1.241,0.09,0.008,1.721
"160","805_6",-0.608,-0.207,0.345,0.013,0,0.145
"161","814_1",-1.172,-0.092,0.827,-0.163,0.026,0.359
"162","814_2",0.721,0.804,1.448,0.123,0.015,2.342
"163","814_3",0.451,-0.712,0.62,0.411,0.169,1.208
"164","814_4",0.451,-0.712,1.586,-0.121,0.015,2.272
"165","814_5",0.721,0.804,0.758,0.503,0.253,1.581
"166","814_6",-1.172,-0.092,0.138,0.004,0,0.026
"167","815_1",0.113,0.299,2.827,-1.908,3.641,4.173
"168","815_2",-0.225,-0.46,0.414,0.168,0.028,0.508
"169","815_3",0.113,0.161,2.413,-1.43,2.044,2.963
"170","815_4",0.113,0.161,0.62,-0.07,0.005,0.244
"171","815_5",-0.225,-0.46,2.206,-1.006,1.011,2.856
"172","815_6",0.113,0.299,0.207,0.079,0.006,0.2
"173","817_1",-0.113,1.172,0.386,1.336,1.786,2.822
"174","817_2",-0.789,-1.034,2.041,0.028,0.001,4.221
"175","817_3",1.375,0.207,1.103,-0.261,0.068,0.694
"176","817_4",-0.473,-0.345,0.552,0.043,0.002,0.39
"177","817_5",0.203,-0.345,0.331,0.091,0.008,0.292
"178","817_6",0.068,-0.483,0.165,0.226,0.051,0.479
"179","817_7",-0.158,-0.345,0.11,0.116,0.013,0.244
"180","817_8",-0.744,0.483,0.993,-0.013,0,0.959
"181","817_9",1.329,0.896,0.717,0.675,0.455,1.864
"182","817_10",-0.699,-0.207,0.276,0.024,0.001,0.124
"183","889_1",0.293,0.597,0.965,0.124,0.015,1.18
"184","889_2",0.158,-0.437,1.172,-0.153,0.023,1.068
"185","889_3",-0.451,-0.161,0.207,0.015,0,0.073
"186","889_4",-0.451,-0.161,0.483,-0.032,0.001,0.168
"187","889_5",0.158,-0.437,1.448,-0.333,0.111,1.429
"188","889_6",0.293,0.597,1.655,-0.327,0.107,2.083
"189","890_1",0.18,-0.965,1.103,0.627,0.394,2.472
"190","890_2",1.262,-0.62,3.378,-2.468,6.091,6.476
"191","890_3",-1.442,1.586,2.275,1.22,1.489,7.617
"192","890_4",-1.442,1.586,1.034,2.247,5.049,5.563
"193","890_5",1.262,-0.62,0.069,0.384,0.147,0.772
"194","890_6",0.18,-0.965,2.344,-0.442,0.195,4.61
"195","980_1",-0.631,0.506,1.792,-0.548,0.3,2.118
"196","980_2",0.856,-0.253,0.483,0.006,0,0.244
"197","980_3",-0.225,-0.253,1.31,-0.365,0.133,0.986
"198","980_4",-0.225,-0.253,0.483,0.006,0,0.244
"199","980_5",0.856,-0.253,1.31,-0.365,0.133,0.986
"200","980_6",-0.631,0.506,0,0.256,0.065,0.511
"201","981_1",-0.18,0.253,0.345,0.034,0.001,0.187
"202","981_2",-0.451,-0.575,0.483,0.272,0.074,0.777
"203","981_3",0.631,0.322,0.138,0.099,0.01,0.217
"204","981_4",0.631,0.322,1.103,-0.201,0.04,0.815
"205","981_5",-0.451,-0.575,0.758,0.186,0.035,0.948
"206","981_6",-0.18,0.253,0.62,-0.032,0.001,0.32
"207","995_1",-0.09,0.207,0.069,0.042,0.002,0.088
"208","995_2",0.248,0.069,0.207,-0.006,0,0.031
"209","995_3",-0.158,-0.276,0.138,0.071,0.005,0.162
"210","995_4",-0.158,-0.276,1.379,-0.399,0.159,1.103
"211","995_5",0.248,0.069,1.31,-0.424,0.18,0.867
"212","995_6",-0.09,0.207,1.172,-0.301,0.09,0.772
