"","dyad","Creativity Mean.di","Humility Mean.di","Humility Delta.di","Humility Sum.di","Humility Product.di","Humility SquaresMean.di","NA","NA","NA"
"34","291_6",-0.315,-0.23,0.827,-0.46,-0.118,33.968,0.014,0.448,0.224
"35","292_1",0.946,0.942,0.345,1.884,0.858,49.179,0.736,1.835,0.917
"36","292_2",-0.473,-1.126,1.172,-2.252,0.925,24.126,0.855,3.223,1.611
"37","292_3",-0.473,0.184,1.517,0.368,-0.541,38.569,0.293,1.218,0.609
"38","292_4",-0.473,0.184,0.827,0.368,-0.137,38.973,0.019,0.41,0.205
"39","292_5",-0.473,-1.126,1.172,-2.252,0.925,24.126,0.855,3.223,1.611
"40","292_6",0.946,0.942,0.345,1.884,0.858,49.179,0.736,1.835,0.917
"41","304_1",-0.113,-0.161,0.207,-0.322,0.015,34.939,0,0.073,0.037
"42","304_2",0.225,0.184,0.414,0.368,-0.009,39.102,0,0.153,0.077
"43","304_3",-0.113,-0.023,0.207,-0.046,-0.01,36.588,0,0.022,0.011
"44","304_4",-0.113,-0.023,0.207,-0.046,-0.01,36.588,0,0.022,0.011
"45","304_5",0.225,0.184,0,0.368,0.034,39.144,0.001,0.068,0.034
"46","304_6",-0.113,-0.161,0.207,-0.322,0.015,34.939,0,0.073,0.037
"47","305_1",-0.225,0.069,0.345,0.138,-0.025,37.69,0.001,0.069,0.034
"48","305_2",0.248,0.138,0,0.276,0.019,38.571,0,0.038,0.019
"49","305_3",-0.023,-0.207,0.345,-0.414,0.013,34.379,0,0.145,0.072
"50","305_4",-0.023,-0.207,0.069,-0.414,0.042,34.407,0.002,0.088,0.044
"51","305_5",0.248,0.138,0.414,0.276,-0.024,38.529,0.001,0.124,0.062
"52","305_6",-0.225,0.069,0.069,0.138,0.004,37.719,0,0.012,0.006
"53","334_1",-0.991,-0.023,1.586,-0.046,-0.628,35.97,0.394,1.258,0.629
"54","334_2",-0.653,-0.161,1.034,-0.322,-0.241,34.682,0.058,0.586,0.293
"55","334_3",1.645,0.184,0.552,0.368,-0.042,39.068,0.002,0.22,0.11
"56","334_4",1.645,0.184,2.344,0.368,-1.34,37.771,1.795,2.815,1.407
"57","334_5",-0.653,-0.161,0.758,-0.322,-0.118,34.806,0.014,0.339,0.17
"58","334_6",-0.991,-0.023,1.31,-0.046,-0.428,36.17,0.184,0.859,0.429
"59","389_1",0,0.138,0.414,0.276,-0.024,38.529,0.001,0.124,0.062
"60","389_2",0,0.138,0.689,0.276,-0.1,38.452,0.01,0.276,0.138
"61","389_3",0,-0.276,0.276,-0.552,0.057,33.585,0.003,0.19,0.095
"62","389_4",0,-0.276,0.276,-0.552,0.057,33.585,0.003,0.19,0.095
"63","389_5",0,0.138,0.138,0.276,0.014,38.567,0,0.048,0.024
"64","389_6",0,0.138,0.414,0.276,-0.024,38.529,0.001,0.124,0.062
"65","407_1",-0.225,-0.483,0,-0.965,0.233,31.249,0.054,0.466,0.233
"66","407_2",1.532,0.942,0.055,1.884,0.887,49.208,0.787,1.777,0.889
"67","407_3",-1.622,-1.08,1.048,-2.16,0.892,24.652,0.796,2.882,1.441
"68","407_4",0.315,0.62,0.993,1.241,0.139,44.552,0.019,1.263,0.631
"69","407_5",0.18,1.31,1.599,2.62,1.076,53.863,1.158,4.711,2.355
"70","407_6",0.541,0.529,1.324,1.057,-0.159,43.138,0.025,1.435,0.717
"71","407_7",-0.496,-1.356,2.923,-2.712,-0.298,20.112,0.089,7.949,3.975
"72","407_8",-0.406,-1.218,3.309,-2.436,-1.254,20.831,1.573,8.442,4.221
"73","407_9",-1.307,-1.034,4.854,-2.068,-4.82,19.498,23.23,13.917,6.959
"74","407_10",1.487,1.77,0.938,3.539,2.911,61.28,8.476,6.702,3.351
"75","507_1",0.045,-1.08,1.999,-2.16,0.167,23.927,0.028,4.332,2.166
"76","507_2",0.518,0.437,2.275,0.873,-1.103,41.077,1.217,2.969,1.485
"77","507_3",-0.563,0.643,0.276,1.287,0.395,45.088,0.156,0.866,0.433
"78","507_4",-0.563,0.643,1.517,1.287,-0.161,44.532,0.026,1.978,0.989
"79","507_5",0.518,0.437,0.483,0.873,0.132,42.313,0.018,0.498,0.249
"80","507_6",0.045,-1.08,0.758,-2.16,1.023,24.782,1.046,2.621,1.31
"81","555_1",-0.045,-0.092,0.552,-0.184,-0.068,35.694,0.005,0.169,0.084
"82","555_2",0.023,0.873,0.965,1.747,0.53,48.013,0.281,1.991,0.995
"83","555_3",0.023,-0.781,0.414,-1.563,0.568,27.956,0.322,1.307,0.653
"84","555_4",0.023,-0.781,1.517,-1.563,0.035,27.423,0.001,2.371,1.186
"85","555_5",0.023,0.873,0.965,1.747,0.53,48.013,0.281,1.991,0.995
"86","555_6",-0.045,-0.092,0.552,-0.184,-0.068,35.694,0.005,0.169,0.084
"87","690_1",0.045,0.23,0.138,0.46,0.048,39.717,0.002,0.115,0.058
"88","690_2",-0.428,0.23,0.552,0.46,-0.023,39.645,0.001,0.258,0.129
"89","690_3",0.383,-0.46,0.414,-0.919,0.168,31.464,0.028,0.508,0.254
"90","690_4",0.383,-0.46,0.138,-0.919,0.206,31.502,0.043,0.432,0.216
"91","690_5",-0.428,0.23,0.276,0.46,0.034,39.703,0.001,0.144,0.072
"92","690_6",0.045,0.23,0.689,0.46,-0.066,39.603,0.004,0.343,0.172
"93","691_1",0.518,-0.184,0.938,-0.368,-0.186,34.459,0.035,0.507,0.254
"94","691_2",-0.248,-1.195,2.813,-2.39,-0.55,21.814,0.302,6.812,3.406
"95","691_3",0.428,1.149,1.765,2.298,0.542,51.375,0.293,4.198,2.099
"96","691_4",-0.699,0.23,0.11,0.46,0.05,39.718,0.002,0.112,0.056
"97","691_5",-0.383,1.379,0.386,2.758,1.864,55.488,3.474,3.877,1.938
"98","691_6",0.158,0,0.276,0,-0.019,36.859,0,0.038,0.019
"99","691_7",-0.293,-1.195,0.827,-2.39,1.257,23.621,1.58,3.198,1.599
"100","691_8",-0.473,-1.149,2.868,-2.298,-0.736,22.186,0.542,6.753,3.377
"101","691_9",1.104,0.965,0.441,1.93,0.883,49.483,0.78,1.961,0.98
"102","691_10",-0.113,0,1.379,0,-0.475,36.402,0.226,0.951,0.475
"103","705_1",0.18,0.023,0.758,0.046,-0.143,37.013,0.021,0.289,0.144
"104","705_2",0.045,0.092,0,0.184,0.008,38.003,0,0.017,0.008
"105","705_3",-0.225,-0.115,0.758,-0.23,-0.131,35.352,0.017,0.314,0.157
"106","705_4",-0.225,-0.115,0.207,-0.23,0.003,35.485,0,0.048,0.024
"107","705_5",0.045,0.092,0.965,0.184,-0.224,37.77,0.05,0.483,0.241
"108","705_6",0.18,0.023,0.207,0.046,-0.01,37.147,0,0.022,0.011
"109","708_1",0.721,-0.115,1.724,-0.23,-0.729,34.753,0.532,1.512,0.756
"110","708_2",-0.09,0.023,0.345,0.046,-0.029,37.128,0.001,0.06,0.03
"111","708_3",-0.631,0.092,1.379,0.184,-0.467,37.527,0.218,0.967,0.484
"112","708_4",-0.631,0.092,1.241,0.184,-0.377,37.618,0.142,0.787,0.393
"113","708_5",-0.09,0.023,0.483,0.046,-0.058,37.099,0.003,0.118,0.059
"114","708_6",0.721,-0.115,0.896,-0.23,-0.188,35.294,0.035,0.428,0.214
"115","709_1",0.023,0.391,0.62,0.781,0.056,41.679,0.003,0.498,0.249
"116","709_2",-0.653,-0.85,1.034,-1.701,0.456,27.006,0.208,1.981,0.99
"117","709_3",0.631,0.46,0.414,0.919,0.168,42.628,0.028,0.508,0.254
"118","709_4",0.631,0.46,0.276,0.919,0.192,42.652,0.037,0.461,0.23
"119","709_5",-0.653,-0.85,0.896,-1.701,0.522,27.073,0.273,1.848,0.924
"120","709_6",0.023,0.391,1.31,0.781,-0.276,41.346,0.076,1.163,0.582
"121","713_1",0.158,-0.253,0.758,-0.506,-0.08,33.728,0.006,0.415,0.208
"122","713_2",-0.113,0.092,0.689,0.184,-0.11,37.884,0.012,0.255,0.127
"123","713_3",-0.045,0.161,0.069,0.322,0.025,38.856,0.001,0.054,0.027
"124","713_4",-0.045,0.161,0.207,0.322,0.015,38.847,0,0.073,0.037
"125","713_5",-0.113,0.092,0.552,0.184,-0.068,37.926,0.005,0.169,0.084
"126","713_6",0.158,-0.253,0.483,-0.506,0.006,33.813,0,0.244,0.122
"127","714_1",-0.09,0.46,1.103,0.919,-0.093,42.367,0.009,1.031,0.515
"128","714_2",-0.158,-1.195,2.068,-2.39,0.359,22.723,0.129,4.995,2.497
"129","714_3",0.248,0.735,0.965,1.471,0.308,46.117,0.095,1.547,0.774
"130","714_4",0.248,0.735,0.138,1.471,0.536,46.345,0.287,1.091,0.546
"131","714_5",-0.158,-1.195,1.241,-2.39,1.043,23.407,1.088,3.626,1.813
"132","714_6",-0.09,0.46,2.206,0.919,-1.006,41.454,1.011,2.856,1.428
"133","786_1",1.803,0.414,0.138,0.827,0.166,42.068,0.028,0.352,0.176
"134","786_2",-0.766,-0.62,1.034,-1.241,0.118,29.459,0.014,1.305,0.652
"135","786_3",-1.037,0.207,0.896,0.414,-0.158,39.232,0.025,0.487,0.244
"136","786_4",-1.037,0.207,0.069,0.414,0.042,39.431,0.002,0.088,0.044
"137","786_5",-0.766,-0.62,0.207,-1.241,0.374,29.716,0.14,0.791,0.396
"138","786_6",1.803,0.414,1.103,0.827,-0.133,41.769,0.018,0.951,0.475
"139","799_1",-0.113,-0.414,1.103,-0.827,-0.133,31.721,0.018,0.951,0.475
"140","799_2",0.361,0.069,2.275,0.138,-1.289,36.426,1.662,2.598,1.299
"141","799_3",-0.248,0.345,1.172,0.689,-0.225,40.84,0.05,0.924,0.462
"142","799_4",-0.248,0.345,1.586,0.689,-0.51,40.555,0.26,1.495,0.747
"143","799_5",0.361,0.069,0.483,0.138,-0.053,37.661,0.003,0.126,0.063
"144","799_6",-0.113,-0.414,0.689,-0.827,0.052,31.906,0.003,0.58,0.29
"145","801_1",0.135,0.115,0.938,0.23,-0.207,38.067,0.043,0.466,0.233
"146","801_2",0.451,0.529,0.552,1.057,0.203,43.5,0.041,0.711,0.355
"147","801_3",-0.586,-0.85,0.331,-1.701,0.696,27.246,0.484,1.501,0.75
"148","801_4",0,0.207,0.055,0.414,0.042,39.432,0.002,0.087,0.044
"149","801_5",-0.451,-0.207,0.441,-0.414,-0.006,34.36,0,0.183,0.091
"150","801_6",0.541,0.483,0.386,0.965,0.196,42.935,0.038,0.54,0.27
"151","801_7",-0.225,-0.391,0.11,-0.781,0.15,32.282,0.022,0.311,0.156
"152","801_8",-0.09,-0.069,0.496,-0.138,-0.057,35.983,0.003,0.133,0.066
"153","801_9",0.09,-0.253,0.607,-0.506,-0.028,33.779,0.001,0.312,0.156
"154","801_10",0.135,0.437,0.552,0.873,0.115,42.295,0.013,0.533,0.267
"155","805_1",-0.608,-0.207,1.999,-0.414,-0.957,33.409,0.915,2.084,1.042
"156","805_2",-0.541,-0.689,1.103,-1.379,0.171,28.675,0.029,1.559,0.779
"157","805_3",1.149,0.896,0.896,1.792,0.602,48.365,0.363,2.008,1.004
"158","805_4",1.149,0.896,0.758,1.792,0.659,48.422,0.435,1.894,0.947
"159","805_5",-0.541,-0.689,1.241,-1.379,0.09,28.595,0.008,1.721,0.86
"160","805_6",-0.608,-0.207,0.345,-0.414,0.013,34.379,0,0.145,0.072
"161","814_1",-1.172,-0.092,0.827,-0.184,-0.163,35.599,0.026,0.359,0.18
"162","814_2",0.721,0.804,1.448,1.609,0.123,46.769,0.015,2.342,1.171
"163","814_3",0.451,-0.712,0.62,-1.425,0.411,28.637,0.169,1.208,0.604
"164","814_4",0.451,-0.712,1.586,-1.425,-0.121,28.104,0.015,2.272,1.136
"165","814_5",0.721,0.804,0.758,1.609,0.503,47.15,0.253,1.581,0.791
"166","814_6",-1.172,-0.092,0.138,-0.184,0.004,35.765,0,0.026,0.013
"167","815_1",0.113,0.299,2.827,0.597,-1.908,38.598,3.641,4.173,2.087
"168","815_2",-0.225,-0.46,0.414,-0.919,0.168,31.464,0.028,0.508,0.254
"169","815_3",0.113,0.161,2.413,0.322,-1.43,37.402,2.044,2.963,1.481
"170","815_4",0.113,0.161,0.62,0.322,-0.07,38.761,0.005,0.244,0.122
"171","815_5",-0.225,-0.46,2.206,-0.919,-1.006,30.29,1.011,2.856,1.428
"172","815_6",0.113,0.299,0.207,0.597,0.079,40.585,0.006,0.2,0.1
"173","817_1",-0.113,1.172,0.386,2.344,1.336,52.449,1.786,2.822,1.411
"174","817_2",-0.789,-1.034,2.041,-2.068,0.028,24.346,0.001,4.221,2.111
"175","817_3",1.375,0.207,1.103,0.414,-0.261,39.128,0.068,0.694,0.347
"176","817_4",-0.473,-0.345,0.552,-0.689,0.043,32.734,0.002,0.39,0.195
"177","817_5",0.203,-0.345,0.331,-0.689,0.091,32.782,0.008,0.292,0.146
"178","817_6",0.068,-0.483,0.165,-0.965,0.226,31.242,0.051,0.479,0.24
"179","817_7",-0.158,-0.345,0.11,-0.689,0.116,32.807,0.013,0.244,0.122
"180","817_8",-0.744,0.483,0.993,0.965,-0.013,42.725,0,0.959,0.479
"181","817_9",1.329,0.896,0.717,1.792,0.675,48.438,0.455,1.864,0.932
"182","817_10",-0.699,-0.207,0.276,-0.414,0.024,34.389,0.001,0.124,0.062
"183","889_1",0.293,0.597,0.965,1.195,0.124,44.259,0.015,1.18,0.59
"184","889_2",0.158,-0.437,1.172,-0.873,-0.153,31.422,0.023,1.068,0.534
"185","889_3",-0.451,-0.161,0.207,-0.322,0.015,34.939,0,0.073,0.037
"186","889_4",-0.451,-0.161,0.483,-0.322,-0.032,34.892,0.001,0.168,0.084
"187","889_5",0.158,-0.437,1.448,-0.873,-0.333,31.241,0.111,1.429,0.715
"188","889_6",0.293,0.597,1.655,1.195,-0.327,43.807,0.107,2.083,1.041
"189","890_1",0.18,-0.965,1.103,-1.93,0.627,25.782,0.394,2.472,1.236
"190","890_2",1.262,-0.62,3.378,-1.241,-2.468,26.874,6.091,6.476,3.238
"191","890_3",-1.442,1.586,2.275,3.171,1.22,57.356,1.489,7.617,3.808
"192","890_4",-1.442,1.586,1.034,3.171,2.247,58.383,5.049,5.563,2.782
"193","890_5",1.262,-0.62,0.069,-1.241,0.384,29.726,0.147,0.772,0.386
"194","890_6",0.18,-0.965,2.344,-1.93,-0.442,24.713,0.195,4.61,2.305
"195","980_1",-0.631,0.506,1.792,1.011,-0.548,42.47,0.3,2.118,1.059
"196","980_2",0.856,-0.253,0.483,-0.506,0.006,33.813,0,0.244,0.122
"197","980_3",-0.225,-0.253,1.31,-0.506,-0.365,33.442,0.133,0.986,0.493
"198","980_4",-0.225,-0.253,0.483,-0.506,0.006,33.813,0,0.244,0.122
"199","980_5",0.856,-0.253,1.31,-0.506,-0.365,33.442,0.133,0.986,0.493
"200","980_6",-0.631,0.506,0,1.011,0.256,43.274,0.065,0.511,0.256
"201","981_1",-0.18,0.253,0.345,0.506,0.034,39.982,0.001,0.187,0.094
"202","981_2",-0.451,-0.575,0.483,-1.149,0.272,30.172,0.074,0.777,0.388
"203","981_3",0.631,0.322,0.138,0.643,0.099,40.884,0.01,0.217,0.108
"204","981_4",0.631,0.322,1.103,0.643,-0.201,40.584,0.04,0.815,0.408
"205","981_5",-0.451,-0.575,0.758,-1.149,0.186,30.086,0.035,0.948,0.474
"206","981_6",-0.18,0.253,0.62,0.506,-0.032,39.915,0.001,0.32,0.16
"207","995_1",-0.09,0.207,0.069,0.414,0.042,39.431,0.002,0.088,0.044
"208","995_2",0.248,0.069,0.207,0.138,-0.006,37.709,0,0.031,0.015
"209","995_3",-0.158,-0.276,0.138,-0.552,0.071,33.6,0.005,0.162,0.081
"210","995_4",-0.158,-0.276,1.379,-0.552,-0.399,33.129,0.159,1.103,0.551
"211","995_5",0.248,0.069,1.31,0.138,-0.424,37.291,0.18,0.867,0.434
"212","995_6",-0.09,0.207,1.172,0.414,-0.301,39.089,0.09,0.772,0.386
