"","Dyad","Creativity Mean.di","Humility Mean.di","Humility Delta.di","Humility Product.di","Humility SquaresMean.di"
"190","890_2",1.167,-0.562,3.062,22.086,2.661
"191","890_3",-1.333,1.438,2.062,47.139,3.13
"192","890_4",-1.333,1.438,0.938,47.982,2.286
"193","890_5",1.167,-0.562,0.062,24.43,0.317
"194","890_6",0.167,-0.875,2.125,20.311,1.895
"195","980_1",-0.583,0.458,1.625,34.904,0.87
"196","980_2",0.792,-0.229,0.438,27.789,0.1
"197","980_3",-0.208,-0.229,1.188,27.485,0.405
"198","980_4",-0.208,-0.229,0.438,27.789,0.1
"199","980_5",0.792,-0.229,1.188,27.485,0.405
"200","980_6",-0.583,0.458,0,35.565,0.21
"201","981_1",-0.167,0.229,0.312,32.859,0.077
"202","981_2",-0.417,-0.521,0.438,24.797,0.319
"203","981_3",0.583,0.292,0.125,33.601,0.089
"204","981_4",0.583,0.292,1,33.355,0.335
"205","981_5",-0.417,-0.521,0.688,24.726,0.389
"206","981_6",-0.167,0.229,0.562,32.805,0.132
"207","995_1",-0.083,0.188,0.062,32.407,0.036
"208","995_2",0.229,0.062,0.188,30.991,0.013
"209","995_3",-0.146,-0.25,0.125,27.614,0.066
"210","995_4",-0.146,-0.25,1.25,27.227,0.453
"211","995_5",0.229,0.062,1.188,30.648,0.356
"212","995_6",-0.083,0.188,1.062,32.125,0.317
