"","Dyad","Creativity Mean.di","Humility Mean.di","Humility Delta.di","Humility Product.di","Humility SquaresMean.di"
"149","801_5",-0.451,-0.207,0.441,34.36,0.091
"150","801_6",0.541,0.483,0.386,42.935,0.27
"151","801_7",-0.225,-0.391,0.11,32.282,0.156
"152","801_8",-0.09,-0.069,0.496,35.983,0.066
"153","801_9",0.09,-0.253,0.607,33.779,0.156
"154","801_10",0.135,0.437,0.552,42.295,0.267
"155","805_1",-0.608,-0.207,1.999,33.409,1.042
"156","805_2",-0.541,-0.689,1.103,28.675,0.779
"157","805_3",1.149,0.896,0.896,48.365,1.004
"158","805_4",1.149,0.896,0.758,48.422,0.947
"159","805_5",-0.541,-0.689,1.241,28.595,0.86
"160","805_6",-0.608,-0.207,0.345,34.379,0.072
"161","814_1",-1.172,-0.092,0.827,35.599,0.18
"162","814_2",0.721,0.804,1.448,46.769,1.171
"163","814_3",0.451,-0.712,0.62,28.637,0.604
"164","814_4",0.451,-0.712,1.586,28.104,1.136
"165","814_5",0.721,0.804,0.758,47.15,0.791
"166","814_6",-1.172,-0.092,0.138,35.765,0.013
"167","815_1",0.113,0.299,2.827,38.598,2.087
"168","815_2",-0.225,-0.46,0.414,31.464,0.254
"169","815_3",0.113,0.161,2.413,37.402,1.481
"170","815_4",0.113,0.161,0.62,38.761,0.122
"171","815_5",-0.225,-0.46,2.206,30.29,1.428
"172","815_6",0.113,0.299,0.207,40.585,0.1
"173","817_1",-0.113,1.172,0.386,52.449,1.411
"174","817_2",-0.789,-1.034,2.041,24.346,2.111
"175","817_3",1.375,0.207,1.103,39.128,0.347
"176","817_4",-0.473,-0.345,0.552,32.734,0.195
"177","817_5",0.203,-0.345,0.331,32.782,0.146
"178","817_6",0.068,-0.483,0.165,31.242,0.24
"179","817_7",-0.158,-0.345,0.11,32.807,0.122
"180","817_8",-0.744,0.483,0.993,42.725,0.479
"181","817_9",1.329,0.896,0.717,48.438,0.932
"182","817_10",-0.699,-0.207,0.276,34.389,0.062
"183","889_1",0.293,0.597,0.965,44.259,0.59
"184","889_2",0.158,-0.437,1.172,31.422,0.534
"185","889_3",-0.451,-0.161,0.207,34.939,0.037
"186","889_4",-0.451,-0.161,0.483,34.892,0.084
"187","889_5",0.158,-0.437,1.448,31.241,0.715
"188","889_6",0.293,0.597,1.655,43.807,1.041
"189","890_1",0.18,-0.965,1.103,25.782,1.236
"190","890_2",1.262,-0.62,3.378,26.874,3.238
"191","890_3",-1.442,1.586,2.275,57.356,3.808
"192","890_4",-1.442,1.586,1.034,58.383,2.782
"193","890_5",1.262,-0.62,0.069,29.726,0.386
"194","890_6",0.18,-0.965,2.344,24.713,2.305
"195","980_1",-0.631,0.506,1.792,42.47,1.059
"196","980_2",0.856,-0.253,0.483,33.813,0.122
"197","980_3",-0.225,-0.253,1.31,33.442,0.493
"198","980_4",-0.225,-0.253,0.483,33.813,0.122
"199","980_5",0.856,-0.253,1.31,33.442,0.493
"200","980_6",-0.631,0.506,0,43.274,0.256
"201","981_1",-0.18,0.253,0.345,39.982,0.094
"202","981_2",-0.451,-0.575,0.483,30.172,0.388
"203","981_3",0.631,0.322,0.138,40.884,0.108
"204","981_4",0.631,0.322,1.103,40.584,0.408
"205","981_5",-0.451,-0.575,0.758,30.086,0.474
"206","981_6",-0.18,0.253,0.62,39.915,0.16
"207","995_1",-0.09,0.207,0.069,39.431,0.044
"208","995_2",0.248,0.069,0.207,37.709,0.015
"209","995_3",-0.158,-0.276,0.138,33.6,0.081
"210","995_4",-0.158,-0.276,1.379,33.129,0.551
"211","995_5",0.248,0.069,1.31,37.291,0.434
"212","995_6",-0.09,0.207,1.172,39.089,0.386
